Price,Close,High,Low,Open,Volume
Ticker,CCJ,CCJ,CCJ,CCJ,CCJ
Date,,,,,
2010-01-04,27.45496368408203,27.86794446473385,27.15761701788579,27.15761701788579,1158600
2010-01-05,27.15761947631836,27.818388155018425,26.951129067299988,27.65319519764501,1570800
2010-01-06,27.05023765563965,27.347584283614765,26.91808394884992,27.141093919831256,2076600
2010-01-07,26.46380615234375,27.157613910484358,25.935189742324514,26.95938177210435,2322200
2010-01-08,26.604217529296875,26.645514971608783,26.001266049322922,26.513361265734943,1823200
2010-01-11,26.356426239013672,26.934599807296003,26.149935903969443,26.785926514000764,1347200
2010-01-12,25.778255462646484,26.216015587494525,25.596544515269994,26.001265426742453,1425400
2010-01-13,25.68739891052246,25.96822590222782,25.200081576410003,25.89388925292956,1698300
2010-01-14,25.695663452148438,25.9021538326372,25.58002776780506,25.81955736536238,1544100
2010-01-15,25.22486686706543,25.86085607269042,24.993597062494832,25.71218273942337,1932100
2010-01-19,25.47265625,25.505693895286516,25.1422719201511,25.233126626236576,1408900
2010-01-20,24.795366287231445,25.208347065198403,24.572356289034094,25.208347065198403,1344600
2010-01-21,24.076778411865234,24.836663086503364,24.002441747740026,24.762326422378152,1897500
2010-01-22,23.42426872253418,24.02722024145725,23.29211500812355,24.01896043738202,2230700
2010-01-25,23.639020919799805,24.010702682527604,23.43253052648547,23.539904837834385,1385700
2010-01-26,23.482080459594727,23.812464670826166,22.936946117213804,23.209513288404267,1802700
2010-01-27,23.2177791595459,23.853768341635185,22.93695211274425,23.366452487311076,2351600
2010-01-28,23.13518524169922,23.52338663723922,22.7222044303345,23.374713293084437,1765100
2010-01-29,22.358776092529297,23.886805082802397,22.193584748557015,23.333410850932562,2901500
2010-02-01,23.036069869995117,23.07736889765365,22.548752371402163,22.623089045790703,1785000
2010-02-02,23.2921142578125,23.490344823042825,22.969988210841287,23.490344823042825,1892800
2010-02-03,22.6065673828125,23.374710269247863,22.581787970193332,23.259076161151555,2287900
2010-02-04,21.45848274230957,22.350521238571496,21.400665680345792,22.350521238571496,3579800
2010-02-05,21.76408576965332,21.813643018381928,20.90508505624261,21.36762462903139,3155800
2010-02-08,21.276775360107422,21.879727073428032,21.227218095074825,21.879727073428032,2226600
2010-02-09,22.309221267700195,22.41659557416378,21.582374234081787,21.72278775816285,3508300
2010-02-10,22.300960540771484,22.61482521817083,22.127509381644714,22.333999757022227,2019600
2010-02-11,23.069107055664062,23.135183918687865,22.25140528497072,22.40007862062345,2390300
2010-02-12,22.763504028320312,23.00303367769426,22.457899081308568,22.83784070740899,2815100
2010-02-16,23.226041793823242,23.333416112849378,22.928695102063497,23.176482961598758,2370500
2010-02-17,23.399490356445312,23.539903881208737,23.036066837869985,23.36645271406389,1918700
2010-02-18,23.746397018432617,23.845513107858057,23.300376979113334,23.300376979113334,1970200
2010-02-19,24.101552963256836,24.489754238960675,23.71335011215671,23.79594656401182,2242500
2010-02-22,24.159374237060547,24.489758526932487,24.08503757491479,24.41542186478673,2101900
2010-02-23,23.259075164794922,24.37412347854666,23.08562401008064,24.109816056850708,2633600
2010-02-24,23.31689453125,23.663798450515422,23.102144335952673,23.31689453125,2129400
2010-02-25,22.936948776245117,23.044323066569437,21.846679965090747,22.647861967130822,3459200
2010-02-26,22.697423934936523,22.969991194457062,22.433116480298025,22.969991194457062,2097200
2010-03-01,22.97825050354004,23.04432736577393,22.532232077310432,22.71394305460447,1688600
2010-03-02,22.912174224853516,23.1104048166039,22.83783755602253,23.069107367429666,1830800
2010-03-03,22.466156005859375,22.88739503280465,22.127511878066212,22.796540328657983,4726800
2010-03-04,22.43311309814453,22.66438287378392,22.259661947962336,22.4661523126915,2160900
2010-03-05,22.66438865661621,22.796542397730263,22.58179217457071,22.598311786059185,2183500
2010-03-08,22.71394157409668,22.88739273538125,22.581787858242752,22.738720986593002,1659700
2010-03-09,22.73046875,22.969996848956754,22.4661612302972,22.61483302858221,1495100
2010-03-10,23.069107055664062,23.110404504280183,22.730462935742477,22.738722740545036,3039300
2010-03-11,23.209522247314453,23.209522247314453,22.879137908554167,23.036069484842304,2372400
2010-03-12,23.300373077392578,23.457306202955248,23.126921919188998,23.407748954239445,2488100
2010-03-15,22.961729049682617,23.316892746434252,22.631344765051978,23.316892746434252,1446600
2010-03-16,23.168224334716797,23.201263557880377,22.903916850995618,23.06910981601979,1372800
2010-03-17,23.639020919799805,23.862029347277815,23.33341444452005,23.33341444452005,1989500
2010-03-18,23.17647933959961,23.804210271104076,23.06084523327392,23.74639321794123,1015600
2010-03-19,22.804798126220703,23.35819240896865,22.62308558312949,22.804798126220703,1588300
2010-03-22,22.77176284790039,22.796542264988812,22.292705145302225,22.499195561515172,982400
2010-03-23,22.829580307006836,22.903916984160226,22.606571850943556,22.722205981894657,1604700
2010-03-24,22.284446716308594,22.64787031240631,22.201850229641348,22.62309089378705,1571600
2010-03-25,22.00361442565918,22.656124783746346,21.970576784009864,22.45789420766073,1130900
2010-03-26,22.119253158569336,22.309223956576723,21.854944111962823,22.094473742369626,1258300
2010-03-29,22.655838012695312,22.672398097073394,22.216963398828714,22.357734382189157,957500
2010-03-30,22.730361938476562,22.895973823668132,22.531625149195396,22.763483683752057,1774300
2010-03-31,22.697240829467773,22.91253772270015,22.54818901266019,22.688959997488773,1255100
2010-04-01,22.10931396484375,22.91253564094217,22.018226400757875,22.887693147262276,3698100
2010-04-05,22.415693283081055,22.448816602756406,21.802926083748336,21.9519778634738,2457300
2010-04-06,22.39085578918457,22.63099357584446,22.23352315553406,22.31632988795049,1809700
2010-04-07,22.324604034423828,22.457095723635486,22.125868869716378,22.158992186870965,2052200
2010-04-08,22.3825740814209,22.415695825446072,21.91885702981252,22.117592232184542,1167400
2010-04-09,22.77176284790039,22.82972708244448,22.332888304427087,22.43225669179334,1310200
2010-04-12,22.630996704101562,22.746925197864996,22.473664048703135,22.738644365538,1942800
2010-04-13,22.51506996154785,22.539910881053686,22.216966292218654,22.539910881053686,1672300
2010-04-14,22.34945297241211,22.539907362796647,22.241805319405632,22.53162653111813,1275200
2010-04-15,22.043073654174805,22.382579910740567,22.001669489101296,22.349456578681757,1420600
